Interval,Hamming,Sample rate,Bit Rate,Total Errors,Error Rate,Corrected Errors,Correction Rate,Meaningful Errors,Throughput,Transfer Time,Accuracy,Raw message,Message,String
2000,True,10,0.5,14,0.2916666666666667,2,0.041666666666666664,11,0.22916666666666666,96.0,65.625,011001101000011111001111100101110000001010000100,011000001110111001010100100000100,*îT**
2000,False,10,0.5,0,0.0,N/A,N/A,0,0.5,64.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
2000,True,10,0.5,8,0.16666666666666666,1,0.020833333333333332,6,0.28125,96.0,81.25,011001101100001111000111100100110000001110000110,011010000110110001001100110000110,hlLÃ*
2000,False,10,0.5,4,0.125,N/A,N/A,4,0.4375,64.0,87.5,01101000011011110100100001000011,01101000011011110100100001000011,hoHC
2000,True,10,0.5,3,0.0625,0,0.0,1,0.3333333333333333,96.0,96.875,011001101100001111100111110110110000000111000110,011010000110111101101100011000110,holc*
2000,False,10,0.5,2,0.0625,N/A,N/A,2,0.46875,64.0,93.75,01111000011011110110110001100011,01111000011011110110110001100011,xolc
2000,True,10,0.5,7,0.14583333333333334,2,0.041666666666666664,6,0.28125,96.0,81.25,011001101100001111000111100100110000001111000110,011010000110110001001110111000110,hlNã*
2000,False,10,0.5,0,0.0,N/A,N/A,0,0.5,64.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
2000,True,10,0.5,15,0.3125,1,0.020833333333333332,11,0.22916666666666666,96.0,65.625,011011101000011111001111100101110000001010000100,011000001110111001010100100000100,*îT**
2000,False,10,0.5,6,0.1875,N/A,N/A,6,0.40625,64.0,81.25,01101000011011100100100011000011,01101000011011100100100011000011,hnHÃ
2000,True,10,0.5,10,0.20833333333333334,1,0.020833333333333332,8,0.2604166666666667,96.0,75.0,011001101100001111000111100100110000001010000100,011010000110110001001100100000100,hlL**
2000,False,10,0.5,7,0.21875,N/A,N/A,7,0.390625,64.0,78.125,01101000011111100111100011000011,01101000011111100111100011000011,h*xÃ
2000,True,10,0.5,1,0.020833333333333332,1,0.020833333333333332,0,0.34375,96.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
